rep,ID,time,prediction_iwRes,iwRes_simulated,iwRes_simulated_simBlq,censored,split,color,filter
1,1,1,7.5547,0.680197,0.680197,0,All,#4682B4,0
2,1,1,6.4464,1.46116,1.46116,0,All,#4682B4,0
3,1,1,7.46042,0.746634,0.746634,0,All,#4682B4,0
4,1,1,7.79014,0.514293,0.514293,0,All,#4682B4,0
5,1,1,8.66518,-0.102298,-0.102298,0,All,#4682B4,0
6,1,1,7.14017,0.972297,0.972297,0,All,#4682B4,0
7,1,1,7.49586,0.721662,0.721662,0,All,#4682B4,0
8,1,1,7.91912,0.423409,0.423409,0,All,#4682B4,0
9,1,1,8.51853,0.00103596,0.00103596,0,All,#4682B4,0
10,1,1,7.83089,0.485581,0.485581,0,All,#4682B4,0
11,1,1,7.68219,0.590364,0.590364,0,All,#4682B4,0
12,1,1,8.3951,0.0880082,0.0880082,0,All,#4682B4,0
13,1,1,6.77665,1.22845,1.22845,0,All,#4682B4,0
14,1,1,8.07789,0.311529,0.311529,0,All,#4682B4,0
15,1,1,6.88867,1.14952,1.14952,0,All,#4682B4,0
16,1,1,6.04693,1.74265,1.74265,0,All,#4682B4,0
17,1,1,7.35334,0.822084,0.822084,0,All,#4682B4,0
18,1,1,8.3762,0.101331,0.101331,0,All,#4682B4,0
19,1,1,8.35642,0.115264,0.115264,0,All,#4682B4,0
20,1,1,8.19755,0.227216,0.227216,0,All,#4682B4,0
21,1,1,7.64486,0.616668,0.616668,0,All,#4682B4,0
1,1,5,6.12738,0.755818,0.755818,0,All,#4682B4,0
2,1,5,5.56906,1.14925,1.14925,0,All,#4682B4,0
3,1,5,6.14443,0.743809,0.743809,0,All,#4682B4,0
4,1,5,6.21891,0.691326,0.691326,0,All,#4682B4,0
5,1,5,6.77483,0.299599,0.299599,0,All,#4682B4,0
6,1,5,6.01483,0.835128,0.835128,0,All,#4682B4,0
7,1,5,6.5202,0.479018,0.479018,0,All,#4682B4,0
8,1,5,4.77572,1.70827,1.70827,0,All,#4682B4,0
9,1,5,6.32521,0.616423,0.616423,0,All,#4682B4,0
10,1,5,6.16437,0.72976,0.72976,0,All,#4682B4,0
11,1,5,6.29545,0.637391,0.637391,0,All,#4682B4,0
12,1,5,6.81556,0.270899,0.270899,0,All,#4682B4,0
13,1,5,6.35858,0.592908,0.592908,0,All,#4682B4,0
14,1,5,5.94134,0.886915,0.886915,0,All,#4682B4,0
